WORD;TRANSLATION;DIFFICULTY
Absorption;;5
Abuse;;5
Acceptance ;;5
Account/s;;5
Accountability/accounting;;5
Accountant;;5
Accumulation/total~;;5
Adjournment;;5
Adjusted/adjustment;;5
Advertising;;5
Aggregate/assets aggregate;;5
Allocate funds;;5
Allowance;;5
Amendment;;5
Asset(s);;5
Average price;;5
Balance of an account;;5
Bargain;;5
Bid price;;5
Bill/of exchange/lading/;;5
Bond;;5
Bonus;;5
Bookkeeper/ing;;5
Borrow/ed funds/er/borrowing ;;5
Borrowed capital;;5
Brand name;;5
Breakeven;;5
Building and installation works   ;;5
Burden;;5
By-product;;5
Capacity/labor capacity;;5
Cargo/goods/freight/bulk;;5
Cash;;5
Charges;;5
Cheque/drawer of a ~/drawn ~    ;;5
Claim;;5
Commodities/surplus~;;5
Consignment                             ;;5
Consumption;;5
Convenience goods/store;;5
Cost(s);;5
Cost/delivered/guiding price;;5
Currency;;5
Customs duties/fees;;5
Debt(s);;5
Debtor;;5
Debt-to-equity ratio;;5
Deduction;;5
Delay;;5
Deliveries/delivered goods;;5
Demand and supply  ;;5
Department store;;5
Depletion  ;;5
Depreciation of a currency/capital  ;;5
Disposable income(di);;5
Due amount/in due time ;;5
Durable goods   ;;5
Duty paid/duty free;;5
Earnings     ;;5
Entity;;5
Entrepreneur/ship;;5
Entry  ;;5
Equipment  ;;5
Equity/issue;;5
Estimation;;5
Excess profit/excessive spending ;;5
Exchange/interest rate/rates of return  ;;5
Exchange/market;;5
Expansion ;;5
Expenses;;5
External variables;;5
Facilities;;5
Fee;;5
Feedback;;5
Fine;;5
Fixed assets;;5
Fraud;;5
Fringe benefits ;;5
Gains;;5
Gross national/domestic product(gnp/gdp);;5
Growth;;5
Handling/data~;;5
Hardware;;5
Holder;;5
Holdings;;5
Hourly wage rates/incentive wage  ;;5
Impose a penalty;;5
Income/ings;;5
Increase(net);;5
Insurance ;;5
Intagible assets/ intangibles;;5
Interest;;5
Intermediary;;5
Investments;;5
Invoice/issue of an ~;;5
Labour costs/force;;5
Land tax;;5
Law of diminishing marginal utility  ;;5
Layoff;;5
Leakages;;5
Lease;;5
Legal restrictions;;5
Liability(ies)/deferred~;;5
Liquid assets;;5
Loan;;5
Long-term(fixed) liabilities ;;5
Loss(es);;5
Maintenance;;5
Manpower;;5
Maturity date;;5
Mortgage;;5
Mortgage;;5
Needs;;5
Negotiations/talks;;5
Net costs/lending          ;;5
Net profit after taxes;;5
Net worth;;5
Nondeductible;;5
Nondurable goods/nondurables ;;5
Output;;5
Overhead(s) (costs/charges/expenses)  ;;5
Owner/owner’s equityсредства;;5
Owner’s/shareholder’s/stockholder’s equity ;;5
Pattern;;5
Percentage (of a reduction);;5
Premises and facilities;;5
Prepaid expenses/prepayment  ;;5
Prepayment (of debt);;5
Price/earnings (p/e) ratio;;5
Price/tax/abatement;;5
Proceeds/current sales proceeds ;;5
Procurements;;5
Profit/excess ~;;5
Profitability;;5
Profit-and-loss balance;;5
Property;;5
Purchases/~ discounts;;5
Purchasing power  ;;5
Quality;;5
Quantity;;5
Quotation;;5
Range;;5
Rate/~ of depreciation;;5
Ratio;;5
Reallocation of resources;;5
Reduction;;5
Reliability;;5
Repair/capital ~/current ~;;5
Replacement cost (value);;5
Retail/wholesale price;;5
Return on equities;;5
Revenue;;5
Salaries / wages;;5
Schedule;;5
Securities;;5
Shipment;;5
Short-term investments;;5
Software;;5
Sole propietorship;;5
Special bid;;5
Spendings ;;5
Statement;;5
Stationery and office supplies;;5
Stockholders’ equity;;5
Stocks;;5
Surplus;;5
To assess/assessment;;5
To calculate;;5
To draw money from an account ;;5
To overestimate;;5
To settle an account;;5
Total profit=total revenue-total costs  ;;5
Treasury;;5
Trend/upward ~;;5
Turnover/~ means/commodity ~ ;;5
Underwriter;;5
Unsecured bonds;;5
Unwarranted;;5
Valuation/value;;5
Value-added tax;;5
Verifiability/verification;;5
Wear (and tear)/normal ~ ;;5
Wholesale price;;5
Worth;;5
Yield of capital ;;5
