WORD;TRANSLATION;DIFFICULTY
Ac/dc;;5
Additional conductor;;5
Alternative current;;5
Alternator ;;5
Ammeter, n;;5
Amplifier, n;;5
Anode;;5
Back-up;;5
Base load;;5
Block, n;;5
Capacitance;;5
Capacitor, n;;5
Capacity, n;;5
Carbon, n;;5
Cartridge fuse;;5
Cathode;;5
Cell;;5
Cell, n;;5
Charge, n;;5
Charge, v;;5
Circuit breaker;;5
Circuit, n;;5
Coalfired power station;;5
Coil, n;;5
Collector, n;;5
Condenser;;5
Conduct, v;;5
Conductor;;5
Connection;;5
Consume, v;;5
Conventional current ;;5
Convert (v.) ;;5
Copper, n;;5
Couple, n;;5
Cross-section, n;;5
Current ;;5
Current source ;;5
Current strength;;5
Detached joint;;5
Direct current;;5
Discharge, v;;5
Distribution network;;5
Electric appliance ;;5
Electric battery ;;5
Electric charge ;;5
Electric circuit ;;5
Electric power ;;5
Electric power grid ;;5
Electric power industry ;;5
Electric utilities ;;5
Electric, electrical ;;5
Electrical arc welding;;5
Electrical network ;;5
Electricity ;;5
Electricity distribution ;;5
Electricity generation ;;5
Electricity meter ;;5
Electricity transmission ;;5
Electrochemical cell;;5
Electrolysis;;5
Electrolyte;;5
Electromagnetic induction;;5
Electromagnetic induction ;;5
Element ;;5
Embed, v;;5
Emitter;;5
Energy ;;5
Energy source ;;5
Energy-saving;;5
Engage, v;;5
Engine ;;5
Fossilfuel power station;;5
Fuse, n;;5
Generator;;5
Grounding, n = earthing, n;;5
Guard, n;;5
High-voltage;;5
Induction / asynchronous motor;;5
Inductor;;5
Instantaneous current ;;5
Insulant, n = dielectric, n;;5
Insulate, v;;5
Kinetic energy ;;5
Knife switch;;5
Light bulb ;;5
Magnetic field;;5
Magnetic field strength;;5
Magnetic flux;;5
Magnetic flux density;;5
Main, n;;5
Mesh, n;;5
Motor, n;;5
Mount, v;;5
Multispeed motor;;5
Negative charge ;;5
Neutral grounding;;5
Nuclear;;5
Nuclear fission;;5
Nuclear power plant;;5
Open/closed circuit;;5
Output, n;;5
Path, n;;5
Permanent joint;;5
Pickup, n;;5
Positive charge ;;5
Power ;;5
Power (v.) ;;5
Power cut;;5
Power factor;;5
Power source ;;5
Power station, power plant  ;;5
Power transformer ;;5
Power unit;;5
Powerlines ;;5
Powerpoles ;;5
Pressure, n;;5
Primary energy ;;5
Primary winding;;5
Principle of superposition ;;5
Proof stress;;5
Pulp;;5
Pump, n;;5
Pumping jack;;5
Pumping unit;;5
Pump-storage;;5
Quality, n;;5
Quantity, n;;5
Radiation;;5
Radius (n) of accurancy;;5
Ram pump;;5
Range, n;;5
Rate, n;;5
Ratio, n;;5
Rational rate;;5
Read, v;;5
Rechargeable battery ;;5
Reciprocating motion;;5
Recovery, n;;5
Rectifier, n;;5
Reducer, n;;5
Refiner, n;;5
Refractory, a;;5
Reject heat;;5
Relay pumping station;;5
Relay, n;;5
Reliability, n;;5
Remote, adj.;;5
Renewable;;5
Renewable sources ;;5
Renewables;;5
Reserve, v;;5
Residual induction;;5
Resistance ;;5
Resistive circuit ;;5
Resistivity, n = specific resistance, n;;5
Resistor ;;5
Secondary winding;;5
Section, n;;5
Secure, v;;5
Semiconductor, n;;5
Sensor, n;;5
Separately excited motor;;5
(self-excited) compound-wound motor;;5
(self-excited) series wound motor;;5
(self-excited) shunt-wound motor;;5
Sliding guides;;5
Socket, n;;5
Solar;;5
Solar cell ;;5
Solar photovoltaics ;;5
Speed, n;;5
Speed-torque characteristic;;5
Starting torque;;5
Static electricity ;;5
Step-down transformer;;5
Step-up transformer;;5
Storage cell =accumulator;;5
Strength, n;;5
Stress, n;;5
Substation;;5
Superconductor;;5
Sustainable;;5
Switch, n;;5
Switchgear, n;;5
Synchronous speed;;5
Tension, n;;5
Thermal;;5
Thermal energy;;5
Thermal power station;;5
Thermopile ;;5
Thread, n;;5
Three-phase current;;5
Transducer, n;;5
Transformer, n;;5
Transmit, v;;5
Triboelectric effect ;;5
Trigger, v;;5
Unstable;;5
Voltage ;;5
Voltage source ;;5
