WORD;TRANSLATION;DIFFICULTY
Access;;5
Access point;;5
Account;;5
Active window;;5
Add;;5
Addition;;5
Address bus;;5
Ai (artificial intelligence);;5
Algorithm;;5
Algorithm for pattern recognition;;5
Analog;;5
Analogue;;5
Antivirus program;;5
Application;;5
Application programmer;;5
Approximation;;5
Architecture;;5
Archiving;;5
Arithmetic;;5
Asp (attached support processor);;5
Assembly language;;5
Automatically;;5
Backbone;;5
Backup;;5
Bar code;;5
Bar code reader;;5
Basic (beginner's all-purpose symbolic instruction code);;5
Binary;;5
Bit ;;5
Block;;5
Bookmark;;5
Bubble memory;;5
Bug;;5
Bus;;5
Byte;;5
Cache;;5
Cache memory;;5
Calculating machine;;5
Calculating time;;5
Сalculation;;5
Capacity;;5
Cd drive (compact disk drive);;5
Cd-rw (compact disk recordable-writable);;5
Cellular phone;;5
Chip;;5
Сlick;;5
Сlient;;5
Clipboard;;5
Cluster;;5
Code;;5
Combination;;5
Compatible;;5
Compile;;5
Complete;;5
Complicated;;5
Component;;5
Сompress;;5
Сomputer;;5
Computer access device;;5
Conductor;;5
Connection;;5
Constant;;5
Control bus;;5
Conventional;;5
Core;;5
Cpu (сentral processing unit);;5
Crash;;5
Cursor;;5
Cut and paste;;5
Cyberspace;;5
Dac (digital-to-analog converter);;5
Dashboard;;5
Data;;5
Data base, database (db);;5
Debug;;5
Decode;;5
Decompress;;5
Decrease;;5
Desciption;;5
Desktop;;5
Develop;;5
Device;;5
Dial-up networking;;5
Digital;;5
Digital camera;;5
Disc;;5
Divide;;5
Division;;5
Dot matrix printer;;5
Double;;5
Double-click;;5
Download;;5
Downstream;;5
Drag and drop;;5
Dsl (digital subscriber line);;5
Duplex;;5
Dvd;;5
Editor;;5
Edutainment;;5
Efficient;;5
Electronic circuit;;5
Electronic mail (e-mail);;5
Enter;;5
Equation;;5
Erasable;;5
Execute;;5
Expansion;;5
Expansion slot;;5
External;;5
File server;;5
File transfer protocol (ftp);;5
Flash memory;;5
Floppy, floppy disk, floppy disc;;5
Floppy disk driver (fdd) ;;5
Flow chart;;5
Folder;;5
Formula;;5
Fortran, fortran (formula translator);;5
Freeware;;5
Gateway ;;5
Generate;;5
Generation;;5
Gigabit (gb);;5
Gigabyte (gb);;5
Gps;;5
Graphic;;5
Hard copy;;5
Hard disk drive;;5
Hardware ;;5
Help line;;5
Hexadecimal;;5
High-capacity;;5
High-capacity storage;;5
High-level;;5
High-level programming language;;5
Home computer;;5
Home page;;5
Host;;5
Html (hypertext markup language);;5
Ibm (international business machines corporation);;5
Icon;;5
Icq (i seek you);;5
Imap;;5
Improve;;5
Increase;;5
Informatics;;5
Information technology (it);;5
Initialize;;5
Input;;5
Input device;;5
Inquiry;;5
Instruction;;5
Intel (integrated electronics);;5
Intermediate;;5
Internet protocol;;5
Internet service provider (isp);;5
Invent (invention);;5
Ip;;5
Joystick;;5
Kernel;;5
Keyword;;5
Lan (local area network);;5
Language;;5
Laser printer;;5
Lcd (liquid crystal display);;5
Level;;5
Limit;;5
Link;;5
Log;;5
Mac;;5
Machine code;;5
Machine intellegence;;5
Mailbox;;5
Mb;;5
Memory;;5
Microprocessor;;5
Motherboard;;5
Mouse pointer;;5
Ms dos (microsoft disk operating system);;5
Multimedia;;5
Multiplication;;5
Multiply;;5
Net;;5
Network;;5
Network operating sysytem (nos);;5
Number;;5
Numeric keyboard;;5
Offline, off-line;;5
On-line, online;;5
Operating system (os);;5
Operation;;5
Output;;5
Perform;;5
Personal computer;;5
Pointer;;5
Port;;5
Portable computer;;5
Primary disk;;5
Print;;5
Process;;5
Processor ;;5
Pull-down menu;;5
Random access memory (ram);;5
Raw data;;5
Readable;;5
Reboot;;5
Record;;5
Register;;5
Reliable;;5
Remote control;;5
Representation;;5
Rom (read only memory);;5
Sequence;;5
Software;;5
Storage;;5
Subprogram;;5
Subtract;;5
Supervisor;;5
Synchronize;;5
Synchronous;;5
System administrator;;5
System bus (s-bus);;5
Tab;;5
Table;;5
Tag;;5
Tape;;5
Task;;5
Telnet;;5
Terabit (tb);;5
Terabyte (tb);;5
Terminal;;5
Terminal adapter;;5
Third generation, thrid-generation;;5
Troughput;;5
Tooltip, tooltip;;5
Topology;;5
Track;;5
Traffic;;5
Transaction processing;;5
Transistor;;5
Transmission control protocol;;5
Transport layer;;5
Unit;;5
Upgrade;;5
Upload;;5
Ups (uninterruptible power supply);;5
Upstream;;5
Url (uniform resource locator);;5
User;;5
User name;;5
Utility;;5
Variable;;5
Verify;;5
Virtual;;5
Virtual reality;;5
Web;;5
Web;;5
Word processing;;5
Word processor;;5
