WORD;TRANSLATION;DIFFICULTY
Abandon (v);;5
Aberration (n);;5
Abrasive (adj);;5
Absorb (v);;5
Accelerate (n);;5
Access (n);;5
Accessories (n);;5
Accommodate (n);;5
Accomplish (v);;5
Accumulate (v);;5
Acid (adj);;5
Acknowledge (v);;5
Acquire (v);;5
Action (n);;5
Adapt (v);;5
Adhere (v);;5
Admit (v);;5
Admixture (n) ;;5
Adopt (v);;5
Advanced (adj);;5
Affect (v);;5
Afford (v);;5
Application (n) ;;5
Approach (n);;5
Approximately (adv) ;;5
Arc (n);;5
Assemblage (n);;5
Assembly;;5
Assume (v);;5
Assist (v);;5
Assure (v);;5
Atomize (v);;5
Attrition (n);;5
Axial (adj);;5
Bait  (v);;5
Basis (adj);;5
Bear (v);;5
Bed (n);;5
Behavior(n);;5
Bell (n);;5
Belt (n);;5
Bend (n);;5
Beneath ;;5
Beneficiate (v) ;;5
Billet  (n);;5
Bind (v);;5
Bisect  (v);;5
Bit (n);;5
Blast (n);;5
Blend (v);;5
Blow ;;5
Blow in;;5
Blowing ;;5
Body-centred cube ;;5
Boil (v);;5
Boiling point;;5
Bottom (n) ;;5
Boundary (n) ;;5
Bowl (n0;;5
Brick (n);;5
Brine (n);;5
Bullion (n);;5
Burn (v);;5
Burner( n) ;;5
Burnish (n);;5
Burrow (n);;5
Cable (n);;5
Carbon (n);;5
Carpet (n);;5
Carry out (v);;5
Case (n);;5
Cell (v);;5
Check (v);;5
Chemical (adj);;5
Chemist (n);;5
Chemistry (n);;5
Chill (v);;5
Chloride (n);;5
Chute (n);;5
Circuit (n);;5
Circular (n);;5
Clamp (n);;5
Clarification (n);;5
Corrosive (adj);;5
Cost (n, v);;5
Costly (adj);;5
Cover (v);;5
Crack (n);;5
Create (v);;5
Cross section (n);;5
Crude (adj);;5
Crust (n);;5
Crystalline (adj);;5
Cube (n);;5
Current (n);;5
Damage (n);;5
Data (n);;5
Decline (n);;5
Decompose (v) ;;5
Decrease (v);;5
Define (v);;5
Definition (n);;5
Deflect (v);;5
Degree (n);;5
Deliver (n);;5
Delivery (n)  ;;5
Demand (n);;5
Dense (adj);;5
Deposit (n);;5
Deposition (n) ;;5
Deteriorate (v);;5
Determine (v);;5
Device (n);;5
Eliminate (v);;5
Engine (n);;5
Enhance (v);;5
Enrich (v);;5
Enterprise (n) ;;5
Envelope (n);;5
Equilibrium (n);;5
Equip (v);;5
Equipment (n) ;;5
Erosion (n);;5
Escape (v);;5
Establish (v);;5
Evaporate (v) ;;5
Evidence (n);;5
Exhibit (v);;5
Exist (v);;5
Expand (v);;5
Experience (n) ;;5
Exploit (v);;5
Exploitation (n);;5
Extract (v);;5
Extraction (n);;5
Facilitate (v);;5
Facility (n);;5
Failure (n);;5
Figure  (n);;5
Firm (adj);;5
Float (v);;5
Fuel (n);;5
Furnace (n);;5
Fuse (v, adj);;5
Fusibility (n);;5
Gangue (n);;5
Gauge (n);;5
Gear (n);;5
Generate (v);;5
Grade (n);;5
Handle (v);;5
Hard (n);;5
Harden (v);;5
Hardening (n);;5
Hasten (v);;5
Hazard (n);;5
Heap (n);;5
Heat (n, v);;5
Housing (n);;5
Hydrogen (n);;5
Hydrolysis (n);;5
Hydrous (adj);;5
Hydroxide (n);;5
Impair (v);;5
Impregnate (v);;5
Improve (v);;5
Incapable (adj);;5
Include (v);;5
Influence (n, v);;5
Ingredient (n) ;;5
Inhibit (v);;5
Inhibitor (n);;5
Inject (v);;5
Injection(n);;5
Input (n);;5
Insoluble (adj);;5
Install (v);;5
Installation (n);;5
Interaction (n);;5
Introduce ;;5
Introduction;;5
Involve (v);;5
Issue (v, n);;5
Jar (n);;5
Jet (n);;5
Jet engine ;;5
Kind (n);;5
Label (n, v);;5
Limit (v);;5
Liquid  (n);;5
Load (n, v);;5
Locate (v);;5
Loss (n);;5
Lubricant (n);;5
Luster (n);;5
Machinery (n);;5
Maintain (v);;5
Maintenance (n) ;;5
Major (adj);;5
Majority(n) ;;5
Make up (v);;5
Manner (n);;5
Manufacture (v) ;;5
Means (n);;5
Measure (v);;5
Measurement (n);;5
Meet specifications ;;5
Member (n);;5
Mine (n, v);;5
Mix (v);;5
Mixture (n);;5
Modify (v);;5
Moisture (n);;5
Molten (adj);;5
Mount (v);;5
Moveable (adj) ;;5
Noble (adj);;5
Non-ferrous ;;5
Nugget (n);;5
Object (n, v);;5
Obtain (v);;5
Occur (v);;5
Off-gas (n);;5
Operate (v);;5
In order to ;;5
Orientation (n);;5
Origin (n);;5
Overload (n);;5
Owing to ;;5
Oxidation (n);;5
Oxide (n);;5
Pack (v);;5
Pale (adj);;5
Particle (n);;5
Pass (v);;5
Penetrate (v);;5
Penetration (n);;5
Percolate (v);;5
Perform (v);;5
Permit (v);;5
Persist (v);;5
Phenomenon (n) ;;5
Pit (n);;5
Plane (n, adj);;5
Pliancy (adj);;5
Plug (n);;5
Point of view ;;5
Polish (v);;5
Porosity (n);;5
Porous (adj);;5
Powder metallurgy ;;5
Precipitate (v);;5
Predict (v);;5
Prefer (v);;5
Preheat (v);;5
Prevent (v);;5
Process (v, n);;5
