WORD;TRANSLATION;DIFFICULTY
abandoned workings;;5
accelerator;;5
access road/ramp;;5
accident;;5
acidic mine drainage (amd);;5
agent;;5
alloy;;5
angle;;5
anthracite coal;;5
ash;;5
auger;;5
backfill;;5
bank;;5
bed;;5
bench;;5
blasting;;5
bituminous coal;;5
blasting agent;;5
block;;5
boom-type excavator;;5
borehole mining;;5
bottom;;5
boring head;;5
breaker;;5
briquette;;5
broken rock;;5
bucket;;5
cable drill;;5
capacity;;5
charge;;5
cherry picker;;5
clean up;;5
closure;;5
coal liquefaction;;5
coal tar;;5
coal-based power plant;;5
coke;;5
combustion;;5
competence;;5
concentrating;;5
concentration;;5
consolidated rock;;5
crosssection;;5
crush;;5
crushing;;5
crushed;;5
crusher rock dust;;5
culm dumps;;5
cutterhead;;5
cutting head;;5
debris [ˈdebriː];;5
deposit;;5
depth;;5
deslime;;5
detonation velocity;;5
detonator;;5
detonation wave;;5 
deslime;;5
dewatering;;5
dig (dug, dug) (up);;5
dimension;;5
dipper;;5
disintegrate;;5
disposal;;5
ditch;;5
drag-bit;;5
dredge;;5
dredging;;5
dressing;;5
drift;;5
drive;;5
dry blast hole;;5
dump truck;;5
edge coal;;5
electrical wiring;;5
excavate;;5
exploratory excavation;;5
extinguishing of rock-fall;;5
extract;;5
extraction;;5
face;;5
face drilling;;5
fall;;5
fan pipe;;5
fan unit;;5
field studies;;5
firedamp;;5
flat-dipping bed;;5
fluidized bed combustion;;5
grindingstand;;5
grouting;;5
hammer;;5
handling;;5
haul road;;5
heap;;5
heavy machinery;;5
highwall;;5
hole;;5
hopper;;5
hydraulic excavator;;5
hydraulicking;;5
in a single pass;;5
in-situ;;5
install;;5
installation;;5
jackhammer drill;;5
jack shaft;;5
lab tested;;5
landfill;;5
landform;;5
load and carry operations;;5
load-haul-dump machine;;5
maintain;;5
manually;;5
massive rock;;5
matrix;;5
mill;;5
mine dumps;;5
mine reclamation;;5
mine site;;5
mined-out;;5
miner;;5
mineral resources;;5
mineral values;;5
mining fleet;;5
mining machine;;5
mining operations;;5
mining techniques;;5
moisture;;5
negotiable;;5
non-ferrous ores;;5
open cast mining;;5
open pit mining;;5
open-cast;;5
opencast mining;;5
open-cut mining;;5
open-pit mining;;5
ore;;5
ore body;;5
ore lode;;5
ore rock;;5
outcrop;;5
output;;5
overburden (waste, spoil);;5
overlying layer;;5
packwall;;5
panel;;5
picked rock;;5
pile;;5
pillar;;5
placer;;5
probable reserves;;5
probe drilling;;5
processing facilities;;5
production;;5
production drilling;;5
production rate;;5
prospecting drift;;5
proved reserves;;5
pumping appliance;;5
pumping of coal;;5
quarry;;5
quarry boundaries;;5
quarry face;;5
quarry floor;;5
quarry operator;;5
quarrying;;5
rank of coal;;5
reclamation;;5
recover;;5
restoration;;5
reverse circulation drill rig;;5
rock dumps;;5
rock formation;;5
rockfall;;5
roofing;;5
room and pillar;;5
rotary drill;;5
rotating drum;;5
screening;;5
scrub;;5
scrubber;;5
shaft;;5
shearer;;5
shelf life;;5
shovel;;5
shovel operator;;5
slope;;5
soil mechanics;;5
spoil;;5
strength;;5
strip;;5
stripping;;5
strip mining;;5
strip ratio;;5
subsurface mining;;5
surface blasting;;5
surface mining;;5
tailings;;5
tailings impoundments;;5
tails;;5
tractor-trailers;;5
transmission line;;5
void;;5
waste area;;5
waste disposal;;5
water truck;;5
wire rope;;5
yearlyadvanceofface;;5
