WORD;TRANSLATION;DIFFICULTY
abundant;;5
abyssal;;5
accumulation;;5
accurate;;5
adjacent;;5
apply;;5
band;;5
be subjected to smth.;;5
bed;;5
bedded deposits;;5
bedded vein;;5
belt (e.g. mountain belt);;5
body;;5
brine;;5
cemented substance;;5
cleavage;;5
cleave;;5
common;;5
compaction;;5
composition;;5
compound;;5
consolidate/solidify;;5
consolidated sediments;;5
continental / lithospheric plate;;5
contract;;5
contraction;;5
convergent plate boundary;;5
cool;;5
core;;5
crack;;5
crude oil;;5
crust;;5
crystal lattice;;5
crystallization;;5
data, n. plural (datum, n. singular);;5
decay;;5
deformation;;5
density;;5
denudation;;5
deposit;;5
depth;;5
derive (from);;5
destruction;;5
dimension;;5
dissolve;;5
divergent boundary;;5
dyke, n.;;5
earthquake, n.;;5
earth's surface;;5
emission, n.;;5
environment, n;;5
epicentre, n.;;5
erosion, n.;;5
eruption, n.;;5
estimate, v.;;5
evaporation, n.;;5
evidence, n.;;5
expand, v.;;5
exploration, n.;;5
expose, v.;;5
exposure, n.;;5
extract, v.;;5
extrusion, n.;;5
extrusive, adj.;;5
fault plane;;5
fault, n.;;5
field, n.;;5
fine, adj. (e.g. fine-grained);;5
fissure, n.;;5
flaky, adj. (e.g. flaky rocks);;5
floor, n. (e.g. sea/ocean floor);;5
flow, v., n.;;5
fluid, n.;;5
focus, n.;;5
fold, n.;;5
folding, n.;;5
foliate, v.;;5
foliated, adj.;;5
forсe, v., n.;;5
fossil ore;;5
fossil, n.;;5
fossil-bearing;;5
fracture, n.;;5
fragmentary, adj. (e.g. fragmentary rocks);;5
fragments of rocks;;5
freeze-thaw weathering;;5
geological (cross) section;;5
geological disturbances;;5
geological formation;;5
geological prospecting;;5
glacier, n.;;5
glassy, adj.;;5
grain, n.;;5
heat, n.;;5
hydrocarbons, n. plural;;5
impurity, n.;;5
inclined, adj. (e.g. inclined sills);;5
influence (on smth), n.;;5
internal, adj. (e.g. internal structure of rocks);;5
intrusion, n.;;5
intrusive, adj.;;5
laccolith, n.;;5
landslide, n.;;5
lateral, adj. (e.g. lateral pressure);;5
lava, n.;;5
layer, n. (e.g. layer sequence);;5
layering, n.;;5
liquid, adj., n.;;5
lithification, n.;;5
loose, adj. (e.g. loose sediments);;5
magma chamber;;5
magma, n.;;5
make up, v., n.;;5
mantle rock;;5
mantle, n.;;5
matter, n.;;5
melting, n.;;5
metamorphic rock;;5
mid-ocean ridge;;5
mineral, n.;;5
Mohorovičić discontinuity;;5
moisture, n.;;5
molten rock;;5
normal dip-slip fault;;5
observations, n. plural;;5
occur, v.;;5
occurrence, n.;;5
ore genesis / formation;;5
ore, n.;;5
organic remains;;5
origin, n. (e.g. origin of the rock);;5
oxidation, n.;;5
particle, n.;;5
penetrate, v.;;5
permafrost rock/ formation;;5
plate, n. (e.g. tectonic plate);;5
platy minerals, n. plural;;5
plutonic rocks;;5
podiform deposit;;5
porous, adj. (e.g. porous sedimentary rock);;5
precipitate, n., v. (e.g. precipitate from a solution);;5
pre-existing rock;;5
pressure, n.;;5
process, v., n.;;5
processing, n. (e.g. data processing);;5
property, n.;;5
protolith, n.;;5
resistant, adj.;;5
reverse dip-slip fault;;5
rock, n.;;5
schist, n.;;5
seam, n.;;5
sediment, n.;;5
sedimentary, adj. (e.g. sedimentary rock);;5
shallow, adj.;;5
sheet, n.;;5
shield volcano;;5
sill, n.;;5
solidification, n.;;5
solidified masses / rocks;;5
solidify, v.;;5
soluble, adj.;;5
solution, n.;;5
solvent, n.;;5
source rock;;5
specimen, n.;;5
split, v.;;5
steep veins;;5
strata, n. plural (stratum, n. singular);;5
stratification, n.;;5
stratify, v.;;5
stratovolcano / composite volcano;;5
substance, n.;;5
succession, n.;;5
surface, n.;;5
tectonic shift;;5
tectonics, n. (plate tectonics);;5
texture, n. (e.g. rock texture);;5
thickness, n.;;5
transform (into), v.;;5
transform (strike-slip) fault;;5
transform plate boundary;;5
transformation, n.;;5
transportation of rocks;;5
uncemented particles (grains);;5
unconsolidated rocks;;5
undergo, v.;;5
uniformity, n.;;5
uplift, n.;;5
valuable, adj.;;5
vary, v.;;5
vein, n.;;5
volatile, adj. (e.g. volatile matter);;5
volcanic arc;;5
volсano, n.;;5
wall rock;;5
walls, n. plural;;5
weathering, n.;;5
