WORD;TRANSLATION;DIFFICULTY
Adaptor, n;;5
Adjust, n;;5
Anchor screw, n;;5
Angle, n;;5
Arc welding;;5 
Arm, n ;;5
Assembly, n;;5 
Axle shaft, n ;;5
Axle, n ;;5
Barrel, n ;;5
Beam, n ;;5
Bearing, n ;;5
Bend, v ;;5
Billet, n ;;5
Bolting, n ;;5
Bonded, adj. ;;5
Bottom  - discharge skip, n;;5
Bracket, n ;;5
Brake, n ;;5
Brass, n ;;5
Brittle, adj.;;5 
Cage, n ;;5
Cage. n ;;5
Casting, n ;;5
Caterpillar, n;;5 
Chuck, n ;;5
Circular cross-section ;;5
Coal-cutting machine, n  ;;5
Coated, adj ;;5
Coil, n ;;5
Coining, n ;;5
Crank, n ;;5
Crankshaft, n;;5 
Crucible tongs, n ;;5
Cutting edge ;;5
Cutting-loading machine, n;;5
Dead time,n  ;;5
Density, n ;;5
Derrick, n;;5
Die, n ;;5
Digger, n;;5
Draw, v ;;5
Drill, n, v ;;5
Drive shaft, n  ;;5
Ductility, n ;;5
Electron-beam welding ;;5
Enclose, v ;;5
Engine, n ;;5
Equipment, n ;;5
Exhaust, v ;;5
Faceplate, n ;;5
Facilities, n pl ;;5
Fibreglass, n ;;5
Flywell, n ;;5
Foot, n ;;5
Forging, n ;;5
Four-stroke engine, n ;;5
Frame, n ;;5
Frequency, n ;;5
Friction clutch, n ;;5
 Friction, n ;;5
Fulcrum, n;;5
Fusible, adj.;;5 
Gap, n ;;5
Gas metal arc;;5 
Gas welding ;;5
Gear teeth ;;5
Gear, n;;5
Gearbox, n = gearhead, n ;;5
Gear-type pump, n ;;5
Grinder, n ;;5
Groove, n ;;5
Grounding, n ;;5
Half shaft, n;;5
Hammer, n ;;5
Hammering, n, v ;;5
Handle, n ;;5
Harden, v ;;5
Haulage unit, n;;5 
Heading machine, n;;5 
Headstock, n ;;5
Heat welding ;;5
 Hoisting unit, n ;;5
Holder, n ;;5
Hollow, adj. ;;5
Hook, n ;;5
Hopper, n ;;5
Housing, n ;;5
Idle ;;5
Ignite, v;;5
Imprint, n ;;5
In-line engine, n ;;5
Internal combustion engine, n ;;5
Item, n ;;5
Jack, n ;;5
Jaw, n ;;5
Joint, n ;;5
Key, n ;;5
Ladle, n ;;5
Laser welding ;;5
Lateral, adj. ;;5
Lathe, n ;;5
Leg, n ;;5
Lever, n ;;5
Load, n ;;5
Loader, n  ;;5
Longitudinal, adj.;;5 
Lubricant, n;;5
Machine-tools ;;5
Machining, n  ;;5
Machining, n ;;5
Magnetic flux ;;5
Maintenance, n ;;5
Mandrel, n ;;5
Matrix, n ;;5
Melt, v ;;5
Milling machine;;5 
Mount, v ;;5
Mount, v;;5
Nozzle, n ;;5
Oil pump, n ;;5
Open-die forging ;;5
Orifice, n ;;5
Oscillate, v ;;5
Outlet part, n  ;;5
Overturning skip, n;;5 
Piece, n ;;5
Pig, n ;;5
Pinion, n ;;5
Pipe, n ;;5
Pipeline, n;;5 
Piston, n ;;5
Pivot, n ;;5
Power unit, n;;5
Pressure welding;;5 
Pressure, n ;;5
Pulley, n ;;5
Pump, n ;;5
Range, n ;;5
Ratio, n ;;5
Reciprocating motion;;5  
Reducer, n ;;5
Reliability, n;;5 
Resistance welding;;5 
Rest, n;;5
Riveting, n;;5 
Robust, adj. ;;5
Rod, n ;;5
Rod, n ;;5
Roller, n ;;5
Rolling, n ;;5
Rotatory hammer, n;;5 
Rust-resisting, adj ;;5
Scrap metal ;;5
Screw, n ;;5
Screw, v ;;5
Seal, n ;;5
Semiconductor, n ;;5
Separately excited motor, n;;5  
Set, n ;;5
 Shank, n;;5
Shape, n ;;5
Shovel, n;;5
Skip, n ;;5
Sleeve, n ;;5
Slide, v ;;5
Slot, n ;;5
Slot, n;;5
Soften, v ;;5
Spanner, n ;;5
Spindle, n ;;5
Strain hardening;;5 
Stroke, n ;;5
Support, n ;;5
Surface, n ;;5
Tank, n ;;5
Tensile ductility;;5 
Thermosetting plastics;;5 
Thinning, n ;;5
Thread, n ;;5
Torque, n ;;5
Transformer, n;;5 
Transmission, n;;5
Truck, n ;;5
Undergo, v ;;5
Unit, n ;;5
Upsetting, n;;5 
Vane, n;;5
Versatile, adj.;;5 
Voltage, n ;;5
Volume, n ;;5
Wear, n ;;5
Wedge, n ;;5
Wheel, n ;;5
Worm screw, n;;5  
Yoke, n;;5
