WORD;TRANSLATION;DIFFICULTY
Alarp (as low as reasonably practicable);;5
Aromatics;;5
Assess risks;;5
Carry out risk assessment;;5
Barge rig;;5
Barrel;;5
Bitumen (asphalt);;5
Bituminous oil (sand);;5
Blend;;5
Blending;;5
Blow up;;5
Blow-out;;5
Blow-out preventer;;5
Boiling point;;5
Borehole;;5
Break down;;5
Btu content;;5
Burn off;;5
Burst pipe;;5
Capacity;;5
Christmas tree»;;5
Commissioning;;5
Complete a well;;5
Completion;;5
Compress;;5
Compressor;;5
Compressor station;;5
Condenser;;5
Contaminant;;5
Contractor;;5
Corrosive;;5
Corrosion;;5
Cracking;;5
Cross section;;5
Crown block;;5
Crude distillation unit (cdu);;5
Crude oil;;5
Decommission;;5
Density;;5
Depleted;;5
Deposit;;5
Derrick;;5
Derrickhand;;5
Design safety case;;5
Detergent;;5
Deviating drilling;;5
Diesel;;5
Directional drilling;;5
Discovery;;5
Disposal phase;;5
Distribution main;;5
Double-walled hulls;;5
Downstream distribution;;5
Downstream sector;;5
Drawworks;;5
Drill an exploratory well (“wildcat” well);;5
Drill collar;;5
Drill pipe;;5
Drill pusher;;5
Drill ship;;5
Drill string;;5
Driller;;5
Drilling area;;5
Drilling engineering;;5
Drilling fluids;;5
Drilling rig;;5
Drilling/hosting line;;5
Drive motor;;5
Emission;;5
Engineer;;5
Environmental engineering;;5
Environmental impact statement;;5
Exploit;;5
Exploration licence ;;5
Exploration phase;;5
Exploration team;;5
Extended reach drilling;;5
Facility;;5
Feasibility;;5
Flaring of gas;;5
Flow line;;5
Flushing;;5
Fpso (floating production storage and offtake);;5
Fractionation;;5
Fractioning column (distillation tower);;5
Gas chromatograph;;5
Gas gathering plant;;5
Goose-neck;;5
Governor;;5
Health, safety and environment;;5
Hook (rotary hook);;5
Horizontal drilling;;5
Hose;;5
Hydrocarbons [ˌhaɪdrəu'kɑːb(ə)nz];;5
Instrument engineer;;5
Internal combustion engine;;5
Jack-up rig/unit;;5
Jet fuel;;5
Kelly;;5
Liquefaction plant;;5
Liquefied natural gas (lng);;5
Liquid petroleum gas;;5
Liquefied petroleum gas (lpg);;5
Lng storage;;5
Local distribution companies (ldcs);;5
Mature exploration;;5
Methane;;5
Midstream;;5
Monkey board;;5
Motor man;;5
Mud;;5
Mud man (mud logger);;5
Mud pump;;5
Mud tank;;5
Naphtha ['næfθə];;5
Naphthenes;;5
Natural gas;;5
Offshore drilling;;5
Offshore≠ onshore;;5
Offtake;;5
Oil (petroleum);;5
Oil depot;;5
Oil exploration;;5
Oil installation;;5
Oil leak;;5
Oil refinery;;5
Oil shipping;;5
Oil spill/ spillage;;5
Oil well;;5
Oil-bearing rock;;5
Oil-carrying freight train;;5
Permeability;;5
Petrol (am. gasoline);;5
Petrol pump;;5
Petroleum;;5
Petroleum engineering;;5
Petroleum geologists;;5
Petroleum geology;;5
Petroleum products;;5
Petroleum trap;;5
Pipe-handling equipment;;5
Pipeline;;5
Pipeline inspection gauges [geɪʤiz] (pigs);;5
Piping designer;;5
Platform jacket;;5
Platform topsides;;5
Pressure;;5
Pressure gauge;;5
Processing plant;;5
Produced water;;5
Production;;5
Production engineering;;5
Production facilities;;5
Production field administrator;;5
Production phase;;5
Production safety case;;5
Production target;;5
Productive well;;5
Pump jack («nodding donkey»);;5
Rate of production;;5
Recovery rates;;5
Refined product tanker;;5
Refinery manager (oil installation manager);;5
Refinery storage tank;;5
Regasification terminal;;5
Relief valve;;5
Reservoir;;5
Reservoir engineering;;5
Rock cuttings;;5
Rock formation;;5
Rock/core sample;;5
Rotary table;;5
Sedimentary basin;;5
Seepage;;5
Seismic survey;;5
Semi-submersible drilling rig;;5
Service line;;5
Shale shaker;;5
Shallow shelf;;5
Shut-off valve;;5
Steel casing;;5
Structural engineering;;5
Submersible;;5
Suction line;;5
Sweet crude oil;;5
Sweetening»;;5
Swivel ['swɪv(ə)l];;5
Tanker;;5
Tension leg cables;;5
Terminal;;5
Travelling block;;5
Tricone bit ;;5
Trip in/out;;5
Tubing;;5
Ultra ['ʌltrə] large crude carrier (ulcc);;5
Upstream;;5
Valve;;5
Vent;;5
Virgin exploration;;5
Well location;;5
