WORD;TRANSLATION;DIFFICULTY
Accumulate, v.;;5
Adit, n.;;5
Available, a.;;5
Band, n.;;5
Barren, adj.;;5
Bed, n.;;5
Belt, n.;;5
Bench, n.;;5
Blast, v.;;5
Blasting, n.;;5
Blend, v.;;5
Bore-hole, n.;;5
Breach, v.;;5
Carring, n.;;5
Carry out, v.;;5
Cave-in, n.;;5
Cement, n.;;5
Charcoal, n.;;5
Coal, n.;;5
Colliery, n.;;5
Combustion, n.;;5
Composition, n.;;5
Concealed, adj.;;5
Concentration, n.;;5
Concrete, n.;;5
Conditions, n pl.;;5
Consolidate, v.;;5
Consume, v.;;5
Consumption, n.;;5
Contract, v.;;5
Crack, n.;;5
Crop, v.;;5
Decay, n.;;5
Define, v.;;5
Deplete, v.;;5
Deposit, n.;;5
Describe, v.;;5
Descriptive, a.;;5
Descriptive geometry;;5
Design, n.;;5
Destroy, v.;;5
Develop, v.;;5
Device, n.;;5
Dewatering, n.;;5
Dig, v. (dug, dug);;5
Dissolve, v.;;5
Dredge, v.;;5
Dredging, n.;;5
Drift, n.;;5
Drill, n.;;5
Dump, n.;;5
Earth's crust;;5
Enterprise, n.;;5
Excavate, v.;;5
Exhaustion, n.;;5
Expand, v.;;5
Explode, v.;;5
Exploit, v.;;5
Exploration, n.;;5
Explore, v.;;5
Expose, v.;;5
Extract, v.;;5
Fault, n.;;5
Fissure, n.;;5
Flooding, n.;;5
Fluid, n.;;5
Force, v.;;5
Fossil, adj.;;5
Fracture, n.;;5
Fuel, n.;;5
Geodesy, n.;;5
Geology, n.;;5
Goaf, n.;;5
Gravity incline;;5
Handle, v.;;5
Hardware, n.;;5
Haulage, n.;;5
Heap, n.;;5
Hoist, n.;;5
Hole, n.;;5
Hydraulic, adj.;;5
Incline, n.;;5
Indicate, v.;;5
Inflame, v.;;5
Internal, adj.;;5
Intrusive, adj.;;5
Investigate, v.;;5
Iron, n.;;5
Lateral, n.;;5
Latitude, n.;;5
Layer, n.;;5
Lead, n.;;5
Level, n.;;5
Lime, n.;;5
Limestone, n.;;5
Liquid, n.;;5
Load, v.;;5
Location, n.;;5
Longitude, n.;;5
Loose, adj.;;5
Lorry, n.;;5
Magnitude, n.;;5
Make up, n.;;5
Manufacture, v.;;5
Map, v.;;5
Metamorphic, adj.;;5
Matter, n.;;5
Means, n.;;5
Measure, n.;;5
Metalliferrous, adj.;;5
Mica, n.;;5
Mill, n.;;5
Mine, n.;;5
Open-cast mine = open-cut mine;;5
Mining, n.;;5
Mining operations;;5
Mode, n.;;5
Moisture, n.;;5
Muck, n.;;5
Mudstone, n.;;5
Natural gas, n.;;5
Ore, n.;;5
Iron ore;;5
Ore mining;;5
Observe, v.;;5
Obtain, v.;;5
Occur, v.;;5
Occurrence, n.;;5
Oil, n.;;5
Open up, v.;;5
Opening, n.;;5
Overburden, n.;;5
Overcasting, n.;;5
Particle, n.;;5
Peat, n.;;5
Penetrate, v.;;5
Petrol, n.;;5
Petrology, n.;;5
Pillar, n.;;5
Pillar mining;;5
Pit, n.;;5
Plane, n.;;5
Bedding plane;;5
Potassium, n.;;5
Pressure, n.;;5
Lateral pressure;;5
Rock pressure;;5
Underground pressure;;5
Process, v.;;5
Processing industry;;5
Property, n.;;5
Prospect, v.;;5
Prove, v.;;5
Quality, n.;;5
Quantity, n.;;5
Quarry, n.;;5
Recover, v.;;5
Refine, v.;;5
Reinforce, v.;;5
Removal, n.;;5
Overburden removal;;5
Remove, v.;;5
Research, n;;5
Reserves, n pl.;;5
Resist, v.;;5
Resistant, adj.;;5
Resource, n.;;5
Result, v.;;5
Rib, n.;;5
Rock, n.;;5
Igneous rocks;;5
Sedimentary rocks;;5
Roof, n.;;5
Safety, n.;;5
Safety measures;;5
Sample, n.;;5
Sand, n.;;5
Sandstone, n.;;5
Seam, n.;;5
Shaft, n.;;5
Shale, n.;;5
Site, n.;;5
Slope, n.;;5
Smelt, v.;;5
Software, n.;;5
Soil, n.;;5
Solution, n.;;5
Source, n.;;5
Split, v.;;5
Steep, adj.;;5
Stope, n.;;5
Stratification, n;;5
Stratum, n. (pl. strata);;5
Substance, n.;;5
Supplies, n pl.;;5
Support, n.;;5
Surface, n.;;5
Survey, n.;;5
Aerial survey;;5
Geodetic survey;;5
Land survey;;5
Nautical / hydrographic survey;;5
Topographic survey;;5
Underground / mine survey;;5
Surveying, n.;;5
Surveyor, n.;;5
Tool, n.;;5
Total station;;5
Trench, n.;;5
Tunnel, n.;;5
Undergo, v.;;5
Uniform, adj.;;5
Unit, n.;;5
Value, n.;;5
Waste, n.;;5
Waste, n.;;5
